Name,Conc,feed,carboxy,carboxylate,hydroxy,ether,ester,ketone,epoxy,amide,cyano,amine,ammonium,phenyl,methyl,methylene,methyne,quat_carbon,vinyl,asetylene,siloxane
sample1,20,0,0,0,0,0,5.181679315,6.692847027,0,0,0,0,0,0,21.41499347,8.40824502,6.383516417,4.049457205,5.181679315,0,0
sample2,20,0,0,0,0,0,3.996430536,9.309422667,0,0,0,0,0,0,22.88357136,9.287592784,7.434440204,3.70630516,3.996430536,0,0
sample3,20,0,0,0,0,0,4.443324483,8.935444858,0,0,0,0,0,0,23.03607572,8.199019747,6.70650082,2.985037854,4.443324483,0,0
sample4,20,0,0,0,0,0,7.002578957,2.895978391,0,0,0,0,0,0,19.41587782,6.781750808,4.648246163,4.26700929,7.002578957,0,0
sample5,20,0,0,0,0,0,4.036507378,9.923829312,0,0,0,0,0,0,23.6442292,8.389267058,7.018326097,2.741881922,4.036507378,0,0
sample6,20,0,0,0,0,0,4.902421979,7.971175256,0,0,0,0,0,0,22.52400123,7.797559553,6.272770783,3.04957754,4.902421979,0,0
sample7,20,0,0,0,0,0,5.509954319,5.169355353,0,0,0,0,0,0,20.08736666,9.151802632,6.52495265,5.253699965,5.509954319,0,0
sample8,20,0,0,0,0,0,2.875910915,13.9621102,0,0,0,0,0,0,26.78401304,7.426184663,7.248132837,0.356103652,2.875910915,0,0
sample9,20,0,0,0,0,0,4.724523282,10.40402892,0,0,0,0,0,0,25.09637576,5.408443506,5.325871888,0.165143236,4.724523282,0,0
sample10,20,0,0,0,0,0,5.464202815,7.379293037,0,0,0,0,0,0,22.57533731,6.57960714,5.423622891,2.311968497,5.464202815,0,0
